"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
4;"207201";"207201";"Soil mechanics";""
4;"207202";"207202";"Earthworks";""
4;"207203";"207203";"Rock mechanics";""
4;"207204";"207204";"Geotechnics";""
4;"207205";"207205";"Foundation engineering";""
4;"207206";"207206";"Engineering geology";""
4;"207207";"207207";"Tunnelling";""
4;"207208";"207208";"Tunnel ventilation";""
3;"2073";"2073";"Mining, Petroleum Engineering";""
4;"207301";"207301";"Processing of mineral raw materials";""
4;"207302";"207302";"Mining engineering";""
4;"207303";"207303";"Mining damage";""
4;"207304";"207304";"Natural gas production";""
4;"207305";"207305";"Natural gas engineering";""
4;"207306";"207306";"Petroleum geology";""
4;"207307";"207307";"Petroleum production";""
4;"207308";"207308";"Petroleum engineering";""
4;"207309";"207309";"History of mining";""
4;"207310";"207310";"Extraction of mineral raw materials";""
4;"207311";"207311";"Economic geology";""
4;"207312";"207312";"Mine surveying";""
4;"207313";"207313";"Drilling engineering";""
4;"207314";"207314";"Underground mining";""
3;"2074";"2074";"Geodesy, Surveying";""
4;"207401";"207401";"3D-surveying";""
4;"207402";"207402";"Remote sensing";""
4;"207403";"207403";"Geodesy";""
4;"207404";"207404";"Geoinformatics";""
4;"207405";"207405";"Engineering geodesy";""
4;"207406";"207406";"Cartography";""
4;"207407";"207407";"Cadastral surveying";""
4;"207408";"207408";"Land surveying";""
4;"207409";"207409";"Navigation systems";""
4;"207410";"207410";"Photogrammetry";""
4;"207411";"207411";"Satellite geodesy";""
4;"207412";"207412";"Satellite-based coordinate measuring";""
4;"207413";"207413";"Surveying";""
3;"2079";"2079";"Environmental Engineering, Applied Geosciences not elsewhere classified";""
4;"207901";"207901";"Offshore technology";""
4;"207902";"207902";"Computational geosciences";""
2;"208";"208";"Environmental Biotechnology";""
3;"2080";"2080";"Environmental Biotechnology";""
4;"208001";"208001";"Bioremediation";""
4;"208002";"208002";"Environmental biotechnology related ethics";""
4;"208003";"208003";"Environmental biotechnology";""
2;"209";"209";"Industrial Biotechnology";""
3;"2090";"2090";"Industrial Biotechnology";""
4;"209001";"209001";"Biocatalysis";""
4;"209002";"209002";"Bioprocess technology";""
4;"209003";"209003";"Biofuels";""
4;"209004";"209004";"Enzyme technology";""
4;"209005";"209005";"Fermentation";""
4;"209006";"209006";"Industrial biotechnology";""
2;"210";"210";"Nanotechnology";""
3;"2100";"2100";"Nanotechnology";""
4;"210001";"210001";"Nanoanalytics";""
4;"210002";"210002";"Nanobiotechnology";""
4;"210003";"210003";"Nanoelectronics";""
4;"210004";"210004";"Nanomaterials";""
4;"210005";"210005";"Nanophotonics";""
4;"210006";"210006";"Nanotechnology";""
2;"211";"211";"Other Technical Sciences";""
3;"2111";"2111";"Metallurgy";""
4;"211101";"211101";"Iron and steel metallurgy";""
4;"211102";"211102";"Casting technology";""
4;"211103";"211103";"Physical metallurgy";""
4;"211104";"211104";"Metallurgy";""
4;"211105";"211105";"Nonferrous metallurgy";""
4;"211106";"211106";"Light metals";""
4;"211107";"211107";"Secondary metallurgy";""
3;"2112";"2112";"Food Technology";""
4;"211201";"211201";"Grain technology";""
4;"211202";"211202";"Food technology";""
4;"211203";"211203";"Food processing engineering";""
4;"211204";"211204";"Meat technology";""
3;"2119";"2119";"Technical Sciences not elsewhere classified";""
4;"211901";"211901";"Waste prevention";""
4;"211902";"211902";"Assistive technologies";""
4;"211903";"211903";"Science of management";""
4;"211904";"211904";"Biomechanics";""
4;"211905";"211905";"Bionics";""
4;"211906";"211906";"Fire protection";""
4;"211907";"211907";"Energy saving";""
4;"211908";"211908";"Energy research";""
4;"211909";"211909";"Energy technology";""
4;"211910";"211910";"Noise protection";""
4;"211911";"211911";"Sustainable technologies";""
4;"211912";"211912";"Product design";""
4;"211913";"211913";"Quality assurance";""
4;"211914";"211914";"Risk research";""
4;"211915";"211915";"Solar technology";""
4;"211916";"211916";"Blasting engineering";""
4;"211917";"211917";"Technology assessment";""
4;"211918";"211918";"Technical history";""
4;"211919";"211919";"Thermography";""
4;"211920";"211920";"Packaging technology";""
4;"211921";"211921";"Civil protection and disaster control";""
4;"211922";"211922";"Energy storage";""
4;"211923";"211923";"Factory planning";""
4;"211924";"211924";"Process and plant safety";""
4;"211925";"211925";"Explosion research";""
4;"211926";"211926";"Technology ethics";""
1;"3";"3";"HUMAN MEDICINE, HEALTH SCIENCES";""
2;"301";"301";"Medical-Theoretical Sciences, Pharmacy";""
3;"3011";"3011";"Anatomy, Pathology, Physiology";""
4;"301101";"301101";"General pathology";""
4;"301102";"301102";"Anatomy";""
4;"301103";"301103";"Medical diagnostics";""
4;"301104";"301104";"Embryology";""
4;"301105";"301105";"Experimental pathology";""
4;"301106";"301106";"Functional anatomy";""
4;"301107";"301107";"Histology";""
4;"301108";"301108";"Molecular pathology";""
4;"301109";"301109";"Pathophysiology";""
4;"301110";"301110";"Physiology";""
4;"301111";"301111";"Radiologic anatomy";""
4;"301112";"301112";"Systematic anatomy";""
4;"301113";"301113";"Topographic anatomy";""
4;"301114";"301114";"Cell biology";""
4;"301115";"301115";"Sonoanatomy";""
3;"3012";"3012";"Pharmacy, Pharmacology, Toxicology";""
4;"301201";"301201";"Pharmaceutical and drug analysis";""
4;"301202";"301202";"History of pharmacy";""
4;"301203";"301203";"Pharmacodynamics";""
4;"301204";"301204";"Pharmacognosy";""
4;"301205";"301205";"Pharmacokinetics";""
4;"301206";"301206";"Pharmacology";""
4;"301207";"301207";"Pharmaceutical chemistry";""
4;"301208";"301208";"Pharmaceutical technology";""
4;"301209";"301209";"Pharmacy";""
4;"301210";"301210";"Psychopharmacology";""
4;"301211";"301211";"Toxicology";""
4;"301212";"301212";"Clinical pharmacy";""
4;"301213";"301213";"Drug targeting";""
4;"301214";"301214";"Biopharmacy";""
4;"301215";"301215";"Drug safety";""
3;"3013";"3013";"Medical Biochemistry, Human Genetics";""
4;"301301";"301301";"Human genetics";""
4;"301302";"301302";"Lipidomics research";""
4;"301303";"301303";"Medical biochemistry";""
4;"301304";"301304";"Medical biology";""
4;"301305";"301305";"Medical chemistry";""
4;"301306";"301306";"Medical molecular biology";""
4;"301307";"301307";"Cytogenetics";""
4;"301308";"301308";"Ageing research";""
3;"3014";"3014";"Neurosciences";""
4;"301401";"301401";"Brain research";""
4;"301402";"301402";"Neurobiology";""
4;"301403";"301403";"Neurochemistry";""
4;"301404";"301404";"Neuroimmunology";""
4;"301405";"301405";"Neuropathology";""
4;"301406";"301406";"Neuropharmacology";""
4;"301407";"301407";"Neurophysiology";""
4;"301408";"301408";"Psychophysiology";""
4;"301409";"301409";"Neuroanatomy";""
3;"3019";"3019";"Medical-Theoretical Sciences not elsewhere classified";""
4;"301901";"301901";"Blood group serology";""
4;"301902";"301902";"Immunology";""
4;"301903";"301903";"Vaccine development";""
4;"301904";"301904";"Cancer research";""
4;"301905";"301905";"Psychoneuroimmunology";""
4;"301906";"301906";"Serology";""
4;"301907";"301907";"Biobanking";""
2;"302";"302";"Clinical Medicine";""
3;"3020";"3020";"Clinical Medicine";""
4;"302001";"302001";"Acupuncture";""
4;"302002";"302002";"Allergology";""
4;"302003";"302003";"General surgery";""
4;"302004";"302004";"Anaesthesiology";""
4;"302005";"302005";"Andrology";""
4;"302006";"302006";"Angiology";""
4;"302007";"302007";"Ophthalmology";""
4;"302008";"302008";"Balneology";""
4;"302009";"302009";"Chemotherapy";""
